YEAR,TEAM,FGM,FGA,FG2M,FG2A,FG3M,FG3A
2018,Denver Nuggets,743,1649,220,385,523,1264
2018,Dallas Mavericks,682,1665,220,409,462,1256
2018,Cleveland Cavaliers,785,1780,219,376,566,1404
2018,Chicago Bulls,778,1786,215,391,563,1395
2018,Charlotte Hornets,781,1763,271,488,510,1275
2018,Brooklyn Nets,669,1478,268,490,401,988
2018,Boston Celtics,571,1425,178,342,393,1083
2018,Atlanta Hawks,729,1770,200,384,529,1386
2019,Washington Wizards,796,1761,214,335,582,1426
2019,Utah Jazz,599,1462,206,374,393,1088
2019,Toronto Raptors,657,1572,177,305,480,1267
2019,San Antonio Spurs,798,1856,232,411,566,1445
2019,Sacramento Kings,712,1775,157,270,555,1505
2019,Portland Trail Blazers,636,1501,176,337,460,1164
2019,Phoenix Suns,773,1742,232,355,541,1387
2019,Philadelphia 76ers,715,1750,224,408,491,1342
2019,Orlando Magic,618,1512,190,319,428,1193
2019,Oklahoma City Thunder,674,1600,194,332,480,1268
2019,New York Knicks,748,1822,173,346,575,1476
2019,New Orleans Pelicans,825,1953,221,367,604,1586
2019,Minnesota Timberwolves,798,1783,173,286,625,1497
2019,Milwaukee Bucks,822,1996,196,375,626,1621
2019,Miami Heat,706,1658,177,312,529,1346
2019,Memphis Grizzlies,671,1681,129,272,542,1409
2019,Los Angeles Lakers,802,2018,240,411,562,1607
2019,Los Angeles Clippers,662,1657,214,376,448,1281
2019,Indiana Pacers,666,1545,177,291,489,1254
2019,Houston Rockets,659,1570,194,300,465,1270
2019,Golden State Warriors,745,1774,220,367,525,1407
2019,Detroit Pistons,622,1476,200,336,422,1140
2019,Denver Nuggets,687,1678,179,326,508,1352
2019,Dallas Mavericks,764,1872,235,397,529,1475
2019,Cleveland Cavaliers,749,1696,223,357,526,1339
2019,Chicago Bulls,758,1762,226,393,532,1369
2019,Charlotte Hornets,726,1738,169,293,557,1445
2019,Brooklyn Nets,718,1764,238,477,480,1287
2019,Boston Celtics,704,1697,176,292,528,1405
2019,Atlanta Hawks,832,1942,227,409,605,1533
2020,Washington Wizards,589,1363,146,229,443,1134
2020,Utah Jazz,517,1250,154,282,363,968
2020,Toronto Raptors,593,1582,98,182,495,1400
2020,San Antonio Spurs,628,1446,153,242,475,1204
2020,Sacramento Kings,488,1261,87,151,401,1110
2020,Portland Trail Blazers,666,1531,143,260,523,1271
2020,Phoenix Suns,536,1216,133,217,403,999
2020,Philadelphia 76ers,565,1352,174,294,391,1058
2020,Orlando Magic,603,1368,141,223,462,1145
2020,Oklahoma City Thunder,534,1376,131,258,403,1118
2020,New York Knicks,555,1211,116,185,439,1026
2020,New Orleans Pelicans,614,1388,163,266,451,1122
2020,Minnesota Timberwolves,477,1141,129,226,348,915
2020,Milwaukee Bucks,703,1785,139,281,564,1504
2020,Miami Heat,536,1329,119,196,417,1133
2020,Memphis Grizzlies,625,1523,146,255,479,1268
2020,Los Angeles Lakers,640,1475,178,319,462,1156
2020,Los Angeles Clippers,574,1439,130,239,444,1200
2020,Indiana Pacers,519,1251,121,196,398,1055
2020,Houston Rockets,605,1388,174,254,431,1134
2020,Golden State Warriors,606,1320,131,207,475,1113
2020,Detroit Pistons,515,1147,154,251,361,896
2020,Denver Nuggets,603,1441,153,271,450,1170
2020,Dallas Mavericks,606,1505,157,263,449,1242
2020,Cleveland Cavaliers,576,1284,150,249,426,1035
2020,Chicago Bulls,441,1075,110,181,331,894
2020,Charlotte Hornets,545,1305,124,191,421,1114
2020,Brooklyn Nets,671,1634,205,392,466,1242
2020,Boston Celtics,552,1366,129,222,423,1144
2020,Atlanta Hawks,557,1289,161,253,396,1036
